State,North,South,East,West
"(2, 1)",4.565420000000001,4.565420000000001,7.982000000000001,6.1838000000000015
"(2, 2)",6.183799999999875,6.1838000000000015,9.98,6.1838000000000015
"(1, 2)",6.1837999855683465,7.9819999618350295,7.982000000000001,4.5654199932934265
"(1, 3)",7.981999997634041,9.98,9.978590546690803,6.183799979150431
"(1, 4)",-0.8,12.199892791383272,0.0,7.97957405194948
"(4, 4)",6.2,8.0,8.0,6.2
"(4, 5)",7.99936201645576,10.0,7.999999939528604,6.199997899043558
"(5, 4)",6.2,7.999999999640323,10.0,6.199999999998421
"(5, 3)",6.199999996044431,6.1999993586702455,8.0,4.579999019548457
"(5, 2)",4.564629263903106,4.579055132842688,6.199999995875883,3.121276409748503
"(5, 1)",3.1085683191038886,1.9101864593145859,4.579997018948461,2.1368264824453593
"(4, 1)",4.565419999126249,3.1171381890290597,4.565212689396225,3.1075038808321462
"(3, 1)",6.1838000000000015,3.108877993307534,6.183799990333771,4.565419763828801
"(2, 3)",7.981999999955022,9.98,12.2,7.981999999999999
"(1, 1)",4.5654199859998865,6.1838000000000015,6.1837999998044815,4.565415971475294
"(5, 5)",0.0,0.0,0.0,0.0
"(3, 2)",7.982000000000001,4.565419999807454,6.183799989372407,4.565419962245126
"(4, 2)",6.183799999991825,4.579790831869608,4.565414481146035,3.108739673425821
