episodes_run,avg_reward_last30,final_epsilon,avg_steps,test_name,alpha,gamma,epsilon_decay
100,7.866666666666666,0.36603234127322926,20.74,baseline,0.1,0.5,0.99
46,10.2,0.1,16.41304347826087,baseline,0.1,0.5,0.95
40,10.4,0.1,14.075,baseline,0.1,0.5,0.9
100,7.266666666666667,0.36603234127322926,19.7,baseline,0.1,0.7,0.99
44,10.366666666666667,0.10467395472325498,11.545454545454545,baseline,0.1,0.7,0.95
41,10.1,0.1,13.365853658536585,baseline,0.1,0.7,0.9
100,8.033333333333333,0.36603234127322926,18.69,baseline,0.1,0.9,0.99
54,10.033333333333333,0.1,11.962962962962964,baseline,0.1,0.9,0.95
42,10.566666666666666,0.1,12.619047619047619,baseline,0.1,0.9,0.9
100,7.0,0.36603234127322926,18.45,baseline,0.1,0.99,0.99
43,10.2,0.11018311023500525,15.232558139534884,baseline,0.1,0.99,0.95
40,10.1,0.1,12.525,baseline,0.1,0.99,0.9
100,7.933333333333334,0.36603234127322926,17.99,baseline,0.5,0.5,0.99
44,10.033333333333333,0.10467395472325498,12.340909090909092,baseline,0.5,0.5,0.95
38,11.033333333333333,0.1,11.026315789473685,baseline,0.5,0.5,0.9
100,6.8,0.36603234127322926,18.31,baseline,0.5,0.7,0.99
50,10.066666666666666,0.1,11.8,baseline,0.5,0.7,0.95
36,10.266666666666667,0.1,10.527777777777779,baseline,0.5,0.7,0.9
100,8.266666666666667,0.36603234127322926,19.69,baseline,0.5,0.9,0.99
48,10.133333333333333,0.1,14.645833333333334,baseline,0.5,0.9,0.95
36,10.033333333333333,0.1,11.333333333333334,baseline,0.5,0.9,0.9
100,8.033333333333333,0.36603234127322926,18.74,baseline,0.5,0.99,0.99
46,10.066666666666666,0.1,12.608695652173912,baseline,0.5,0.99,0.95
48,10.433333333333334,0.1,10.291666666666666,baseline,0.5,0.99,0.9
100,7.933333333333334,0.36603234127322926,18.72,baseline,0.9,0.5,0.99
43,10.033333333333333,0.11018311023500525,12.023255813953488,baseline,0.9,0.5,0.95
36,10.466666666666667,0.1,12.916666666666666,baseline,0.9,0.5,0.9
100,7.8,0.36603234127322926,20.15,baseline,0.9,0.7,0.99
50,10.066666666666666,0.1,10.52,baseline,0.9,0.7,0.95
37,10.033333333333333,0.1,10.864864864864865,baseline,0.9,0.7,0.9
100,7.6,0.36603234127322926,16.43,baseline,0.9,0.9,0.99
43,10.166666666666666,0.11018311023500525,13.30232558139535,baseline,0.9,0.9,0.95
37,10.2,0.1,11.567567567567568,baseline,0.9,0.9,0.9
100,7.6,0.36603234127322926,21.22,baseline,0.9,0.99,0.99
46,10.066666666666666,0.1,12.043478260869565,baseline,0.9,0.99,0.95
39,10.166666666666666,0.1,12.615384615384615,baseline,0.9,0.99,0.9
100,6.966666666666667,0.36603234127322926,22.43,no_jump,0.1,0.5,0.99
44,10.033333333333333,0.10467395472325498,16.954545454545453,no_jump,0.1,0.5,0.95
44,10.133333333333333,0.1,14.022727272727273,no_jump,0.1,0.5,0.9
100,9.166666666666666,0.36603234127322926,20.22,no_jump,0.1,0.7,0.99
55,10.533333333333333,0.1,14.745454545454546,no_jump,0.1,0.7,0.95
44,10.1,0.1,12.409090909090908,no_jump,0.1,0.7,0.9
100,8.6,0.36603234127322926,19.22,no_jump,0.1,0.9,0.99
45,10.533333333333333,0.1,15.955555555555556,no_jump,0.1,0.9,0.95
41,11.166666666666666,0.1,12.75609756097561,no_jump,0.1,0.9,0.9
100,7.933333333333334,0.36603234127322926,19.5,no_jump,0.1,0.99,0.99
48,10.033333333333333,0.1,13.270833333333334,no_jump,0.1,0.99,0.95
38,10.1,0.1,14.210526315789474,no_jump,0.1,0.99,0.9
100,6.8,0.36603234127322926,18.32,no_jump,0.5,0.5,0.99
50,10.033333333333333,0.1,10.66,no_jump,0.5,0.5,0.95
34,10.266666666666667,0.1,10.147058823529411,no_jump,0.5,0.5,0.9
100,8.4,0.36603234127322926,17.93,no_jump,0.5,0.7,0.99
48,10.3,0.1,12.541666666666666,no_jump,0.5,0.7,0.95
37,10.1,0.1,10.18918918918919,no_jump,0.5,0.7,0.9
100,8.333333333333334,0.36603234127322926,18.28,no_jump,0.5,0.9,0.99
50,10.033333333333333,0.1,11.0,no_jump,0.5,0.9,0.95
33,10.466666666666667,0.1,9.696969696969697,no_jump,0.5,0.9,0.9
100,7.8,0.36603234127322926,18.75,no_jump,0.5,0.99,0.99
53,10.033333333333333,0.1,15.981132075471699,no_jump,0.5,0.99,0.95
32,10.3,0.1,12.875,no_jump,0.5,0.99,0.9
100,7.7,0.36603234127322926,19.91,no_jump,0.9,0.5,0.99
49,10.2,0.1,12.0,no_jump,0.9,0.5,0.95
35,10.066666666666666,0.1,13.657142857142857,no_jump,0.9,0.5,0.9
100,6.8,0.36603234127322926,20.36,no_jump,0.9,0.7,0.99
43,10.033333333333333,0.11018311023500525,13.790697674418604,no_jump,0.9,0.7,0.95
35,10.233333333333333,0.1,12.514285714285714,no_jump,0.9,0.7,0.9
100,8.033333333333333,0.36603234127322926,16.84,no_jump,0.9,0.9,0.99
47,10.133333333333333,0.1,12.97872340425532,no_jump,0.9,0.9,0.95
33,10.2,0.1,10.909090909090908,no_jump,0.9,0.9,0.9
100,5.6,0.36603234127322926,23.74,no_jump,0.9,0.99,0.99
41,10.266666666666667,0.12208654873684793,14.024390243902438,no_jump,0.9,0.99,0.95
36,10.266666666666667,0.1,9.916666666666666,no_jump,0.9,0.99,0.9
100,7.633333333333334,0.36603234127322926,18.6,random_obstacles,0.1,0.5,0.99
51,10.066666666666666,0.1,15.568627450980392,random_obstacles,0.1,0.5,0.95
43,10.433333333333334,0.1,12.209302325581396,random_obstacles,0.1,0.5,0.9
100,7.133333333333334,0.36603234127322926,17.43,random_obstacles,0.1,0.7,0.99
51,10.2,0.1,12.490196078431373,random_obstacles,0.1,0.7,0.95
41,10.1,0.1,14.292682926829269,random_obstacles,0.1,0.7,0.9
100,6.1,0.36603234127322926,20.93,random_obstacles,0.1,0.9,0.99
48,10.5,0.1,12.9375,random_obstacles,0.1,0.9,0.95
37,10.433333333333334,0.1,14.18918918918919,random_obstacles,0.1,0.9,0.9
100,7.866666666666666,0.36603234127322926,17.55,random_obstacles,0.1,0.99,0.99
48,10.133333333333333,0.1,12.958333333333334,random_obstacles,0.1,0.99,0.95
37,10.033333333333333,0.1,16.72972972972973,random_obstacles,0.1,0.99,0.9
100,7.466666666666667,0.36603234127322926,17.39,random_obstacles,0.5,0.5,0.99
46,10.033333333333333,0.1,10.347826086956522,random_obstacles,0.5,0.5,0.95
37,10.3,0.1,10.594594594594595,random_obstacles,0.5,0.5,0.9
100,7.6,0.36603234127322926,19.03,random_obstacles,0.5,0.7,0.99
47,10.133333333333333,0.1,10.319148936170214,random_obstacles,0.5,0.7,0.95
40,10.533333333333333,0.1,11.125,random_obstacles,0.5,0.7,0.9
100,8.566666666666666,0.36603234127322926,17.07,random_obstacles,0.5,0.9,0.99
46,10.3,0.1,15.804347826086957,random_obstacles,0.5,0.9,0.95
37,10.533333333333333,0.1,12.108108108108109,random_obstacles,0.5,0.9,0.9
100,7.6,0.36603234127322926,19.82,random_obstacles,0.5,0.99,0.99
46,10.066666666666666,0.1,13.021739130434783,random_obstacles,0.5,0.99,0.95
40,10.1,0.1,11.275,random_obstacles,0.5,0.99,0.9
100,7.5,0.36603234127322926,20.0,random_obstacles,0.9,0.5,0.99
45,10.233333333333333,0.1,13.866666666666667,random_obstacles,0.9,0.5,0.95
37,10.233333333333333,0.1,14.756756756756756,random_obstacles,0.9,0.5,0.9
100,7.7,0.36603234127322926,18.13,random_obstacles,0.9,0.7,0.99
44,10.066666666666666,0.10467395472325498,14.704545454545455,random_obstacles,0.9,0.7,0.95
39,10.766666666666667,0.1,8.64102564102564,random_obstacles,0.9,0.7,0.9
100,7.566666666666666,0.36603234127322926,18.07,random_obstacles,0.9,0.9,0.99
45,10.266666666666667,0.1,13.266666666666667,random_obstacles,0.9,0.9,0.95
34,10.233333333333333,0.1,11.588235294117647,random_obstacles,0.9,0.9,0.9
100,7.733333333333333,0.36603234127322926,18.14,random_obstacles,0.9,0.99,0.99
44,10.066666666666666,0.10467395472325498,14.931818181818182,random_obstacles,0.9,0.99,0.95
35,10.133333333333333,0.1,13.142857142857142,random_obstacles,0.9,0.99,0.9
