Episode,Reward,Steps,Epsilon,Duration
1,-49,66,0.7183,3.6699
2,5,12,0.6764,0.6389
3,-16,27,0.5908,1.4556
4,8,9,0.5647,0.4854
5,-17,28,0.4908,1.4999
6,12,5,0.4786,0.2663
7,10,7,0.4621,0.3707
8,11,6,0.4484,0.3198
9,10,7,0.433,0.3754
10,10,7,0.418,0.3761
11,10,7,0.4036,0.3772
12,9,8,0.3878,0.4309
13,12,5,0.3782,0.2695
14,12,5,0.3688,0.2696
15,10,7,0.3561,0.3767
16,12,5,0.3473,0.2678
17,7,10,0.3303,0.5338
18,12,5,0.3221,0.2671
19,11,6,0.3126,0.3218
20,9,8,0.3003,0.4278
21,11,6,0.2914,0.3207
22,0,17,0.2676,0.9179
23,6,11,0.2532,0.591
24,12,5,0.247,0.2687
25,12,5,0.2409,0.2708
26,10,7,0.2326,0.376
27,12,5,0.2268,0.2659
28,12,5,0.2212,0.2659
29,10,7,0.2136,0.3737
30,7,10,0.2031,0.5347
31,12,5,0.1981,0.2666
32,10,7,0.1913,0.3801
33,12,5,0.1865,0.271
34,12,5,0.1819,0.2692
35,7,10,0.173,0.5364
